Name_x,Amusement Park,Type_x,Design,Status_x,Opened,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions_x,Elements,Image URLs,Drop (ft),Duration_x,G-Force (),Vertical Angle (°),Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop_x,Unnamed: 0,year_introduced,Location,Park section,Coordinates,Status_y,Opening date,General statistics,Type_y,Manufacturer,Designer,Model,Track layout,Lift/launch system,Height,Drop_y,Length,Speed,Duration_y,Max vertical angle,Capacity,G-force,coaster_name,History,Closing date,Inversions_y,Trains,Replaced,Replaced by,General Statistics,Cost,Height restriction,Website,Coordinates_1,Coordinates_2,Status_1,Status_2,Opening date_1,Opening date_2,Coordinates_3,Coordinates_4,Status_3,Status_4,Opening date_3,Opening date_4,Flash Pass Available,Closing date_1,Closing date_2,Closing date_3,Closing date_4,Fast Lane available,Location_1,Location_2,Location_3,Location_4,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Coordinates_5,Coordinates_6,Status_5,Status_6,Opening date_5,Opening date_6,Coordinates_7,Coordinates_8,Coordinates_9,Status_7,Status_8,Status_9,Opening date_7,Opening date_8,Opening date_9,Park section_1,Park section_2,Park section_3,Park section_4,Coordinates_10,Status_10,Opening date_10,Replaced by_1,Replaced by_2,Coordinates_11,Coordinates_12,Coordinates_13,Coordinates_14,Coordinates_15,Status_11,Status_12,Status_13,Status_14,Status_15,Opening date_11,Opening date_12,Opening date_13,Opening date_14,Opening date_15,Closing date_5,Closing date_6,Closing date_7,Closing date_8,Replaced by_3,Replaced by_4,Coordinates_16,Coordinates_17,Coordinates_18,Coordinates_19,Coordinates_20,Status_16,Status_17,Status_18,Status_19,Status_20,Opening date_16,Opening date_17,Opening date_18,Opening date_19,Opening date_20,Closing date_9,Closing date_10,Closing date_11,Closing date_12,Coordinates_21,Coordinates_22,Coordinates_23,Coordinates_24,Coordinates_25,Status_21,Status_22,Status_23,Status_24,Status_25,Opening date_21,Opening date_22,Opening date_23,Opening date_24,Opening date_25,Closing date_13,Closing date_14,Closing date_15,Closing date_16,Coordinates_26,Coordinates_27,Coordinates_28,Coordinates_29,Coordinates_30,Status_26,Status_27,Status_28,Status_29,Status_30,Opening date_26,Opening date_27,Opening date_28,Opening date_29,Opening date_30,Closing date_17,Closing date_18,Closing date_19,Closing date_20,Coordinates_31,Coordinates_32,Coordinates_33,Coordinates_34,Coordinates_35,Coordinates_36,Status_31,Status_32,Status_33,Status_34,Status_35,Status_36,Opening date_31,Opening date_32,Opening date_33,Opening date_34,Opening date_35,Opening date_36,Closing date_21,Closing date_22,Closing date_23,Closing date_24,Closing date_25,Name_y,Cost_1,Cost_2,Cost_3,Cost_4,Flash Pass available,Soft opening date,Park section_5,Park section_6,Replaced by_5,Replaced by_6,Park section_7,Park section_8,Park section_9,Replaced by_7,Replaced by_8,Replaced by_9,Acceleration,Park section_10,Park section_11,Park section_12,Park section_13,Park section_14,Park section_15,Park section_16,Restraints,Name_1,Name_2,Name_3,Name_4,Name_5,Name_6,Name_7,Name_8,Name_9,Replaced_1,Replaced_2,Replaced_3,Replaced_4,Fastrack available,Soft opening date_1,Soft opening date_2,Soft opening date_3,Soft opening date_4,Park section_17,Park section_18,Park section_19,Park section_20,Park section_21,Park section_22,Park section_23,Park section_24,Park section_25,Park section_26,Park section_27,Park section_28,Park section_29,Park section_30,Park section_31,Park section_32,Park section_33,Park section_34,Park section_35,Park section_36,Website_1,Website_2,Website_3,Website_4,Cost_5,Cost_6,Cost_7,Cost_8,Cost_9
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,2/2006,Guangzhou,Guangdong,China,Intamin Amusement Rides,"2,788.7",98.4,49.7,10.0,"['Chain Lift Hill', 'Loop', 'Cobra Roll', 'Double Corkscrew', 'Quad Heartline Roll', 'Heartline Roll']",[],,1:32,,,,,,,,,,10 Inversion Roller Coaster,2006.0,Chimelong Paradise,Screaming Zone,23°00′16″N 113°19′37″E﻿ / ﻿23.004355°N 113.326913°E,Operating,2006,General statistics,Steel,Intamin,Werner Stengel,Multi Inversion Coaster,10 Inversion Revision A,Chain lift hill,98.4 ft (30.0 m),,"2,788.8 ft (850.0 m)",45 mph (72 km/h),1:32,,"1,340 riders per hour",,10 Inversion Roller Coaster,History section not found,,10,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,,,,54–77 in (137–196 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abyssus,Energylandia,Steel,Sit Down,Operating,7/14/2021,Zator,Małopolskie,Poland,Vekoma,"4,317.6",126.3,62.1,4.0,"['LSM Launch', 'LSM Boost', 'Loop', 'Batwing', 'Corkscrew']",[],,,,,,,,,,,,Abyssus,2021.0,Energylandia,Aqualantis,49°59′57″N 19°24′04″E﻿ / ﻿49.999201°N 19.401066°E,Operating,"July 14, 2021",General statistics,Steel – Launched,Vekoma,Benjamin Bloemendaal,Shockwave 1320m+,,LSM,126.3 ft (38.5 m),,"4,317.6 ft (1,316.0 m)",62.1 mph (99.9 km/h),,,1000 riders per hour,4.5,Abyssus,"In September 2017, Energylandia applied for funding from the European Union's ESI funding program to construct a major new steel coaster in the future. The park had previously received funding from the European Union for various past and ongoing projects, which were key in establishing the rapid growth of the park. In a December 2018 issue from German magazine Kirmes Park & Revue, plans were confirmed to build a new 100 km/h (62 mph) double-launched coaster for the 2020 season, manufactured by frequent park supplier Vekoma.Track pieces for the new coaster began to arrive in late May 2019. In August 2019, Vekoma dropped the first concept artwork teasing the new attraction. At the IAAPA Expo Europe in Paris from September 17-19, 2019, Dutch design firm Jora Vision hosted a panel presenting the artwork and confirmed the area's official name; Aqualantis. The first animated POV of the ride was released on October 15, 2019. Abyssus was officially announced at a press conference on October 26, 2019, where park owner Marek Goczał presented the upcoming Aqualantis area in full.Site preparation for Aqualantis began in late July 2019. The summer and fall of 2019 were spent pouring foundations and digging trenches for Abyssus, and crews began erecting the coaster before the beginning of 2020. Abyssus was completed within two months of going vertical.
As per conditions with the European Union's provided funds, the park was contractually obligated to have Abyssus opened for April 6, 2020, a deadline that construction was thought to not be on track to achieve. These plans were disrupted by the then-incoming COVID-19 pandemic, and the decision was made in July 2020 to delay its debut to 2021.After the Aqualantis area began its brief soft-opening period on July 10, Abyssus officially opened to the public on July 14, 2021.",,4,3 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,,,,"€11,000,000",120 cm (3 ft 11 in),Official website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"July 10, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrenaline Peak,Oaks Amusement Park,Steel,Sit Down,Operating,3/24/2018,Portland,Oregon,United States,Gerstlauer Amusement Rides GmbH,"1,050.0",72.0,45.0,3.0,"['Vertical Chain Lift Hill', 'Loop', 'Cutback', 'Heartline Roll']",[],,,,97.0,,,,,,,,Adrenaline Peak,2018.0,Oaks Amusement Park,South End,45°28′18″N 122°39′44″W﻿ / ﻿45.471589°N 122.662314°W,Operating,"March 24, 2018",General statistics,Steel – Euro-Fighter,Gerstlauer,,320,,Chain lift hill,72 ft (22 m),70 ft (21 m),"1,050 ft (320 m)",45 mph (72 km/h),,97°,,,Adrenaline Peak,"On August 17, 2017, Oaks Amusement Park announced that they would open a brand new coaster for the 2018 season, revealing the ride layout and announcing a naming contest to determine the attraction's new name, with entries being accepted through to December 1, 2017. To make way for the unnamed new coaster, the Looping Thunder coaster was set to be removed, and offered its last rides on September 24, 2017. Looping Thunder was a common Zyklon looping coaster from former Italian manufacturer Pinfari, and had opened in 1996. The coaster was dismantled by Seattle-based firm WBF Construction Services in November.Site preparation began in the winter of 2017/2018. WBF Construction Services was once again contracted to erect the coaster, in conjunction with Maryland-based Ride Entertainment Group, who currently handles all of coaster manufacturer Gerstlauer's operations in the Western Hemisphere. The Union Ironworkers construction crew completed ride construction in a record 11 days time, finishing on February 16, 2018, which would lead to the process being declared as a world record for the fastest construction timeline on a major coaster. On February 15, 2018, Oaks revealed that the new name of the coaster would be Adrenaline Peak. The name was submitted by William Phillips of Clackamas County, Oregon, who was rewarded with a $500 park gift card. Adrenaline Peak opened to the public on March 24, 2018.",,3,3 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,Looping Thunder,,,"$5,000,000",48 in (122 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adventure Express,Kings Island,Steel,Sit Down,Operating,4/13/1991,Mason,Ohio,United States,Arrow Dynamics,"2,963.0",63.0,35.0,0.0,"['Tunnel', 'Tunnel', 'Chain Lift Hill', 'Tunnel', 'Tunnel', 'Chain Lift Hill']",[],,2:20,,,,,,,,,,Adventure Express,1991.0,Kings Island,Adventure Port,39°20′40″N 84°15′53″W﻿ / ﻿39.344462°N 84.264777°W,Operating,"April 13, 1991",General statistics,Steel – Mine Train,Arrow Dynamics,,Mine Train,,Two chain lift hills,63 ft (19 m),,"2,963 ft (903 m)",35 mph (56 km/h),2:20,,1600 riders per hour,3.8,Adventure Express,"Kings Island approached Arrow Dynamics and one of its lead designers, Ron Toomer, in 1990 to build a traditional mine train roller coaster with a unique twist. Unlike previous Arrow installations, this one would be more heavily-themed and produce an ""out-of-control feeling"" inspired by scenes from the 1984 film Indiana Jones and the Temple of Doom. Construction began later that year, and the total cost to build the family ride was estimated at $4 million. The ride was marketed as a jungle adventure mine train that plunges ""through steamy volcanic tunnels, across rickety bridges, and into a deserted mine shaft inhabited by snakes and spiders"". The roller coaster opened on April 13, 1991. For the 2023 season, Kings Island rethemed the Oktoberfest section of the park and renamed it Adventure Port, adding enhanced theming to Adventure Express during the transition.",,0,3 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,,,,$4 million,48 in (122 cm),,,,,,,,,,,,,,,,,,,Fast Lane available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpen Blitz,Six Flags Great Adventure,Steel,Sit Down,Removed,1976,Jackson,New Jersey,United States,Schwarzkopf,,,,0.0,,[],,,,,,,,,,,,"('Alpen Blitz', 'Six Flags Great Adventure')",1976.0,Six Flags Great Adventure,,40°08′14″N 74°26′28″W﻿ / ﻿40.1371°N 74.4411°W,Removed,1976,General statistics,Steel,Anton Schwarzkopf,Werner Stengel,Alpenblitz II,,,16 ft (4.9 m),2 ft (0.61 m),"1,800 ft (550 m)",10 mph (16 km/h),0:22,,,1,Alpen Blitz,History section not found,1978,,,Jumbo Jet,Haunted Castle,,,44 in (112 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpengeist,Busch Gardens Williamsburg,Steel,Inverted,Operating,3/22/1997,Williamsburg,Virginia,United States,Bolliger & Mabillard,"3,828.0",195.0,67.0,6.0,"['Chain Lift Hill', 'Immelmann', 'Loop', 'Tunnel', 'Cobra Roll', 'Block Brake', 'Zero-G Roll', 'Corkscrew']",[],170.0,3:10,3.7,,,,,,,,,Alpengeist,1997.0,Busch Gardens Williamsburg,Rhinefeld,37°13′58″N 76°38′51″W﻿ / ﻿37.2328°N 76.6476°W,Operating,"March 22, 1997",General statistics,Steel – Inverted,Bolliger & Mabillard,Werner Stengel,Inverted Coaster,Terrain,Chain lift hill,195 ft (59 m),170 ft (52 m),"3,828 ft (1,167 m)",67 mph (108 km/h),1:58,79°,1052 riders per hour,4.5,Alpengeist,"On August 30, 1996, Busch Gardens Williamsburg announced the addition of Alpengeist for the 1997 season. It would break the record for height and speed among inverted roller coasters, and it would feature the tallest vertical loop on an inverted coaster. The ride would be the park's second new roller coaster in two years after Wild Maus. It would be built in the deepest ravine, with much of it hidden by trees. Park experts had worked on state-of-the-art devices to keep the noise lower, including switching from nylon wheels to quieter polyurethane wheels and pointing the major drop away from residential neighborhoods in Kingsmill.Construction of Alpengeist began two months before the announcement in June 1996. The coaster would be made out of 106 track pieces, with seven for the lift hill, ten for the station and 89 for the rest of the layout.Alpengeist officially opened on March 22, 1997. It held the record for tallest inverted coaster until the opening of Cedar Point's Wicked Twister in 2002. However, Alpengeist remained the world's tallest among complete-circuit inverted coasters. In 2021, it was surpassed again by Legendary Twin Dragon, an inverted shuttle coaster in China. Wicked Twister closed at the end of the 2021 season making Alpengeist the tallest inverted coaster in North America. Additionally, Alpengeist would hold the record for being the fastest inverted coaster until Volcano: The Blast Coaster at the nearby Kings Dominion surpassed it in 1998.In 2022, Alpengeist was repainted with light blue supports.",,6,"3 trains with 9 cars. Riders are arranged 4 across in a single row, with no seats in the first car, for a total of 32 riders per train.",,,,$20 million,54 in (137 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpina Blitz,Nigloland,Steel,Sit Down,Operating,4/12/2014,Dolancourt,Grand Est,France,Mack Rides GmbH & Co KG,"2,358.9",108.3,51.6,0.0,['Chain Lift Hill'],[],,,4.3,,,,,,,,,Alpina Blitz,2014.0,Nigloland,,48°15′42″N 4°36′54″E﻿ / ﻿48.2617°N 4.6149°E,Operating,12 April 2014,General statistics,Steel,Mack Rides,,,,Chain lift hill,33 m (108 ft),,"719 m (2,359 ft)",83 km/h (52 mph),,,,4.3,Alpina Blitz,History section not found,,0,2 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,,,,"€8,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apollo's Chariot,Busch Gardens Williamsburg,Steel,Sit Down,Operating,3/27/1999,Williamsburg,Virginia,United States,Bolliger & Mabillard,"4,882.0",170.0,73.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill']",[],210.0,2:15,4.1,65.0,,,,,,,,Apollo's Chariot,1999.0,Busch Gardens Williamsburg,Festa Italia,37°14′05″N 76°38′29″W﻿ / ﻿37.23480°N 76.64130°W,Operating,"March 27, 1999",General statistics,Steel,Bolliger & Mabillard,Werner Stengel,Hyper Coaster,Out and Back/Terrain,Chain lift hill,170 ft (52 m),210 ft (64 m),"4,882 ft (1,488 m)",73 mph (117 km/h),2:15,65°,"1,994, 1,152, 480 (based on calculations for 3, 2, and 1 train operations) riders per hour",4.1,Apollo's Chariot,"Apollo's Chariot was announced on September 5, 1998, as the tallest and fastest roller coaster at Busch Gardens Williamsburg. An article in the Daily Press on January 23, 1999, mentioned that the ride was nearing completion with approximately 20 pieces of track left to be installed. Apollo's Chariot performed its first test runs in mid-February 1999.The ride opened on March 27, 1999. Upon opening, it was the first hypercoaster from Swiss manufacturer Bolliger & Mabillard. Busch Gardens held Apollo's Chariot's opening ceremony three days later on March 30. Italian fashion model Fabio Lanzoni was brought in to promote the new roller coaster; this was part of Busch Gardens Williamsburg's annual program of celebrity appearances. During the ride's inaugural run, a 10-pound goose struck him in the face leaving his nose covered with blood. He was treated at a nearby hospital for minor cuts, while the goose was killed on impact.",,0,3 trains with 9 cars. Riders are arranged 4 across in a single row for a total of 36 riders per train.,,,,US$20 million,52 in (132 cm),,,,,,,,,,,,,,,,,,,,,,,,,,Single rider line available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquaman: Power Wave,Six Flags Over Texas,Steel,Sit Down,Operating,3/11/2023,Arlington,Texas,United States,Mack Rides GmbH & Co KG,708.7,146.3,62.1,0.0,"['LSM Launch (multi-pass)', 'Vertical Rollback', 'Vertical Rollback', 'Splash Track']",[],,,,90.0,,,,,,,,Aquaman: Power Wave,2023.0,Six Flags Over Texas,USA,32°45′22″N 97°04′16″W﻿ / ﻿32.756°N 97.071°W,Operating,"March 11, 2023[1]",General statistics,Steel – Shuttle – Launched,Mack Rides,,,,LSM launch,146.3 ft (44.6 m),,708.7 ft (216.0 m),62.1 mph (99.9 km/h),,90°,731 riders per hour,,Aquaman: Power Wave,"On August 29, 2019, Six Flags Over Texas announced Aquaman: Power Wave for the 2020 season of the park. The roller coaster replaced the former Aquaman Splashdown attraction near the park entrance. Aquaman: Power Wave is considered one of the top 10 new roller coasters anticipated for the 2020 season according to USA Today. Construction of the new roller coaster started and finished in February 2020.Due to the growing concerns of the COVID-19 pandemic, Six Flags announced a suspension of operations across the company on March 13, 2020. This included all operations at Six Flags Over Texas, including the prep work for the new coaster. The park resumed operations on June 19, 2020, with Aquaman: Power Wave still fenced in for construction. Earlier in April 2020, Six Flags announced measures for the company to survive the coronavirus pandemic, including deferring capital projects across the company that was slated for the 2020 season. In December 2020, Six Flags Over Texas responded to a user on Twitter questioning the status of Aquaman: Power Wave. The park stated that the coaster would now open in 2022.On the 60th anniversary of the park (August 5, 2021), Six Flags Over Texas announced that Aquaman: Power Wave was going to be modified with a turntable station to accommodate two 20-passenger boats. Originally, when the roller coaster was announced, the ride was to feature just one boat and no turntable station.The park announced on all of its social media accounts a third delay to the roller coaster, setting the new ride to open for the 2023 season. Citing the effects of supply chain issues and labor shortages, help caused for the delay.Six Flags Over Texas announced on February 15, 2023, that the roller coaster would open the following month on March 11. The park soft opened Aquaman: Power Wave two weeks before the set opening day of the roller coaster for season pass holders.Not long after opening, the ride received new two-way lockers, in which a door swings open on one side to insert belongings, and then swings open on the other side as guests exit the ride to retrieve them.",,,2 trains with a single car. Riders are arranged 4 across in 5 rows for a total of 20 riders per train.,Aquaman Splashdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"February 25, 2023[2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArieForce One,Fun Spot America Atlanta,Steel,Sit Down,Operating,3/31/2023,Fayetteville,Georgia,United States,Rocky Mountain Construction,"3,400.0",155.0,64.0,4.0,"['Chain Lift Hill', 'Dive Loop', 'Zero-G Stall', 'Outward Banked Airtime Hill', 'Zero-G Roll', 'Barrel Roll']",[],146.0,,,83.0,,,,,,,,ArieForce One,2023.0,Fun Spot America Atlanta,,,Operating,"March 31, 2023",General statistics,Steel,Rocky Mountain Construction,Joe Draves,I-Box,Out and Back,Chain lift hill,154 ft (47 m),146 ft (45 m),"3,400 ft (1,000 m)",64 mph (103 km/h),1:40,83°,900 riders per hour,3.75,ArieForce One,,,4,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,,,"$18,000,000 USD[1]",48 in (122 cm),Official website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
