Name,Amusement Park,Type,Design,Status_x,Opened,City,Region,Country,Make,Length,Height,Speed,Inversions,Elements,Image URLs,Drop (ft),Duration,G-force,Max vertical angle,Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop,year_introduced,Location,Park section,Type_y,Manufacturer,Designer,Model,Track layout,Lift/launch system,Height,Drop_y,Length,Speed,Duration_y,Max vertical angle,Capacity,G-force,coaster_name,History,Closing date,Inversions_y,Trains,Replaced,Replaced by,General Statistics
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,2006,Guangzhou,Guangdong,China,Intamin,"2,788.8 ft (850.0 m)",98.4 ft (30.0 m),45 mph (72 km/h),10,"['Chain Lift Hill', 'Loop', 'Cobra Roll', 'Double Corkscrew', 'Quad Heartline Roll', 'Heartline Roll']",[],,1:32,,,,,,,,,,2006,Chimelong Paradise,Screaming Zone,Steel,Intamin,Werner Stengel,Multi Inversion Coaster,10 Inversion Revision A,Chain lift hill,98.4 ft (30.0 m),,"2,788.8 ft (850.0 m)",45 mph (72 km/h),1:32,,"1,340 riders per hour",,10 Inversion Roller Coaster,History section not found,,10,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,,
Abyssus,Energylandia,Steel – Launched,Sit Down,Operating,2021,Zator,Małopolskie,Poland,Vekoma,"4,317.6 ft (1,316.0 m)",126.3 ft (38.5 m),62.1 mph (99.9 km/h),4,"['LSM Launch', 'LSM Boost', 'Loop', 'Batwing', 'Corkscrew']",[],,,4.5,,,,,,,,,2021,Energylandia,Aqualantis,Steel – Launched,Vekoma,Benjamin Bloemendaal,Shockwave 1320m+,,LSM,126.3 ft (38.5 m),,"4,317.6 ft (1,316.0 m)",62.1 mph (99.9 km/h),,,1000 riders per hour,4.5,Abyssus,"In September 2017, Energylandia applied for funding from the European Union's ESI funding program to construct a major new steel coaster in the future. The park had previously received funding from the European Union for various past and ongoing projects, which were key in establishing the rapid growth of the park. In a December 2018 issue from German magazine Kirmes Park & Revue, plans were confirmed to build a new 100 km/h (62 mph) double-launched coaster for the 2020 season, manufactured by frequent park supplier Vekoma.Track pieces for the new coaster began to arrive in late May 2019. In August 2019, Vekoma dropped the first concept artwork teasing the new attraction. At the IAAPA Expo Europe in Paris from September 17-19, 2019, Dutch design firm Jora Vision hosted a panel presenting the artwork and confirmed the area's official name; Aqualantis. The first animated POV of the ride was released on October 15, 2019. Abyssus was officially announced at a press conference on October 26, 2019, where park owner Marek Goczał presented the upcoming Aqualantis area in full.Site preparation for Aqualantis began in late July 2019. The summer and fall of 2019 were spent pouring foundations and digging trenches for Abyssus, and crews began erecting the coaster before the beginning of 2020. Abyssus was completed within two months of going vertical.
As per conditions with the European Union's provided funds, the park was contractually obligated to have Abyssus opened for April 6, 2020, a deadline that construction was thought to not be on track to achieve. These plans were disrupted by the then-incoming COVID-19 pandemic, and the decision was made in July 2020 to delay its debut to 2021.After the Aqualantis area began its brief soft-opening period on July 10, Abyssus officially opened to the public on July 14, 2021.",,4,3 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,,,
Adrenaline Peak,Oaks Amusement Park,Steel – Euro-Fighter,Sit Down,Operating,2018,Portland,Oregon,United States,Gerstlauer,"1,050 ft (320 m)",72 ft (22 m),45 mph (72 km/h),3,"['Vertical Chain Lift Hill', 'Loop', 'Cutback', 'Heartline Roll']",[],,,,97°,,,,,,,70 ft (21 m),2018,Oaks Amusement Park,South End,Steel – Euro-Fighter,Gerstlauer,,320,,Chain lift hill,72 ft (22 m),70 ft (21 m),"1,050 ft (320 m)",45 mph (72 km/h),,97°,,,Adrenaline Peak,"On August 17, 2017, Oaks Amusement Park announced that they would open a brand new coaster for the 2018 season, revealing the ride layout and announcing a naming contest to determine the attraction's new name, with entries being accepted through to December 1, 2017. To make way for the unnamed new coaster, the Looping Thunder coaster was set to be removed, and offered its last rides on September 24, 2017. Looping Thunder was a common Zyklon looping coaster from former Italian manufacturer Pinfari, and had opened in 1996. The coaster was dismantled by Seattle-based firm WBF Construction Services in November.Site preparation began in the winter of 2017/2018. WBF Construction Services was once again contracted to erect the coaster, in conjunction with Maryland-based Ride Entertainment Group, who currently handles all of coaster manufacturer Gerstlauer's operations in the Western Hemisphere. The Union Ironworkers construction crew completed ride construction in a record 11 days time, finishing on February 16, 2018, which would lead to the process being declared as a world record for the fastest construction timeline on a major coaster. On February 15, 2018, Oaks revealed that the new name of the coaster would be Adrenaline Peak. The name was submitted by William Phillips of Clackamas County, Oregon, who was rewarded with a $500 park gift card. Adrenaline Peak opened to the public on March 24, 2018.",,3,3 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,Looping Thunder,,
Adventure Express,Kings Island,Steel – Mine Train,Sit Down,Operating,1991,Mason,Ohio,United States,Arrow Dynamics,"2,963 ft (903 m)",63 ft (19 m),35 mph (56 km/h),0,"['Tunnel', 'Tunnel', 'Chain Lift Hill', 'Tunnel', 'Tunnel', 'Chain Lift Hill']",[],,2:20,3.8,,,,,,,,,1991,Kings Island,Adventure Port,Steel – Mine Train,Arrow Dynamics,,Mine Train,,Two chain lift hills,63 ft (19 m),,"2,963 ft (903 m)",35 mph (56 km/h),2:20,,1600 riders per hour,3.8,Adventure Express,"Kings Island approached Arrow Dynamics and one of its lead designers, Ron Toomer, in 1990 to build a traditional mine train roller coaster with a unique twist. Unlike previous Arrow installations, this one would be more heavily-themed and produce an ""out-of-control feeling"" inspired by scenes from the 1984 film Indiana Jones and the Temple of Doom. Construction began later that year, and the total cost to build the family ride was estimated at $4 million. The ride was marketed as a jungle adventure mine train that plunges ""through steamy volcanic tunnels, across rickety bridges, and into a deserted mine shaft inhabited by snakes and spiders"". The roller coaster opened on April 13, 1991. For the 2023 season, Kings Island rethemed the Oktoberfest section of the park and renamed it Adventure Port, adding enhanced theming to Adventure Express during the transition.",,0,3 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,,,
Alpen Blitz,Six Flags Great Adventure,Steel,Sit Down,Removed,1976,Jackson,New Jersey,United States,Anton Schwarzkopf,"1,800 ft (550 m)",16 ft (4.9 m),10 mph (16 km/h),,,[],,0:22,1,,,,,,,,2 ft (0.61 m),1976,Six Flags Great Adventure,,Steel,Anton Schwarzkopf,Werner Stengel,Alpenblitz II,,,16 ft (4.9 m),2 ft (0.61 m),"1,800 ft (550 m)",10 mph (16 km/h),0:22,,,1,Alpen Blitz,History section not found,1978,,,Jumbo Jet,Haunted Castle,
Alpengeist,Busch Gardens Williamsburg,Steel – Inverted,Inverted,Operating,1997,Williamsburg,Virginia,United States,Bolliger & Mabillard,"3,828 ft (1,167 m)",195 ft (59 m),67 mph (108 km/h),6,"['Chain Lift Hill', 'Immelmann', 'Loop', 'Tunnel', 'Cobra Roll', 'Block Brake', 'Zero-G Roll', 'Corkscrew']",[],170,1:58,4.5,79°,,,,,,,170 ft (52 m),1997,Busch Gardens Williamsburg,Rhinefeld,Steel – Inverted,Bolliger & Mabillard,Werner Stengel,Inverted Coaster,Terrain,Chain lift hill,195 ft (59 m),170 ft (52 m),"3,828 ft (1,167 m)",67 mph (108 km/h),1:58,79°,1052 riders per hour,4.5,Alpengeist,"On August 30, 1996, Busch Gardens Williamsburg announced the addition of Alpengeist for the 1997 season. It would break the record for height and speed among inverted roller coasters, and it would feature the tallest vertical loop on an inverted coaster. The ride would be the park's second new roller coaster in two years after Wild Maus. It would be built in the deepest ravine, with much of it hidden by trees. Park experts had worked on state-of-the-art devices to keep the noise lower, including switching from nylon wheels to quieter polyurethane wheels and pointing the major drop away from residential neighborhoods in Kingsmill.Construction of Alpengeist began two months before the announcement in June 1996. The coaster would be made out of 106 track pieces, with seven for the lift hill, ten for the station and 89 for the rest of the layout.Alpengeist officially opened on March 22, 1997. It held the record for tallest inverted coaster until the opening of Cedar Point's Wicked Twister in 2002. However, Alpengeist remained the world's tallest among complete-circuit inverted coasters. In 2021, it was surpassed again by Legendary Twin Dragon, an inverted shuttle coaster in China. Wicked Twister closed at the end of the 2021 season making Alpengeist the tallest inverted coaster in North America. Additionally, Alpengeist would hold the record for being the fastest inverted coaster until Volcano: The Blast Coaster at the nearby Kings Dominion surpassed it in 1998.In 2022, Alpengeist was repainted with light blue supports.",,6,"3 trains with 9 cars. Riders are arranged 4 across in a single row, with no seats in the first car, for a total of 32 riders per train.",,,
Alpina Blitz,Nigloland,Steel,Sit Down,Operating,2014,Dolancourt,Grand Est,France,Mack Rides,"719 m (2,359 ft)",33 m (108 ft),83 km/h (52 mph),0,['Chain Lift Hill'],[],,,4.3,,,,,,,,,2014,Nigloland,,Steel,Mack Rides,,,,Chain lift hill,33 m (108 ft),,"719 m (2,359 ft)",83 km/h (52 mph),,,,4.3,Alpina Blitz,History section not found,,0,2 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,,,
Apollo's Chariot,Busch Gardens Williamsburg,Steel,Sit Down,Operating,1999,Williamsburg,Virginia,United States,Bolliger & Mabillard,"4,882 ft (1,488 m)",170 ft (52 m),73 mph (117 km/h),0,"['Chain Lift Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill']",[],210,2:15,4.1,65°,,,,,,,210 ft (64 m),1999,Busch Gardens Williamsburg,Festa Italia,Steel,Bolliger & Mabillard,Werner Stengel,Hyper Coaster,Out and Back/Terrain,Chain lift hill,170 ft (52 m),210 ft (64 m),"4,882 ft (1,488 m)",73 mph (117 km/h),2:15,65°,"1,994, 1,152, 480 (based on calculations for 3, 2, and 1 train operations) riders per hour",4.1,Apollo's Chariot,"Apollo's Chariot was announced on September 5, 1998, as the tallest and fastest roller coaster at Busch Gardens Williamsburg. An article in the Daily Press on January 23, 1999, mentioned that the ride was nearing completion with approximately 20 pieces of track left to be installed. Apollo's Chariot performed its first test runs in mid-February 1999.The ride opened on March 27, 1999. Upon opening, it was the first hypercoaster from Swiss manufacturer Bolliger & Mabillard. Busch Gardens held Apollo's Chariot's opening ceremony three days later on March 30. Italian fashion model Fabio Lanzoni was brought in to promote the new roller coaster; this was part of Busch Gardens Williamsburg's annual program of celebrity appearances. During the ride's inaugural run, a 10-pound goose struck him in the face leaving his nose covered with blood. He was treated at a nearby hospital for minor cuts, while the goose was killed on impact.",,0,3 trains with 9 cars. Riders are arranged 4 across in a single row for a total of 36 riders per train.,,,
Aquaman: Power Wave,Six Flags Over Texas,Steel – Shuttle – Launched,Sit Down,Operating,2023,Arlington,Texas,United States,Mack Rides,708.7 ft (216.0 m),146.3 ft (44.6 m),62.1 mph (99.9 km/h),,"['LSM Launch (multi-pass)', 'Vertical Rollback', 'Vertical Rollback', 'Splash Track']",[],,,,90°,,,,,,,,2023,Six Flags Over Texas,USA,Steel – Shuttle – Launched,Mack Rides,,,,LSM launch,146.3 ft (44.6 m),,708.7 ft (216.0 m),62.1 mph (99.9 km/h),,90°,731 riders per hour,,Aquaman: Power Wave,"On August 29, 2019, Six Flags Over Texas announced Aquaman: Power Wave for the 2020 season of the park. The roller coaster replaced the former Aquaman Splashdown attraction near the park entrance. Aquaman: Power Wave is considered one of the top 10 new roller coasters anticipated for the 2020 season according to USA Today. Construction of the new roller coaster started and finished in February 2020.Due to the growing concerns of the COVID-19 pandemic, Six Flags announced a suspension of operations across the company on March 13, 2020. This included all operations at Six Flags Over Texas, including the prep work for the new coaster. The park resumed operations on June 19, 2020, with Aquaman: Power Wave still fenced in for construction. Earlier in April 2020, Six Flags announced measures for the company to survive the coronavirus pandemic, including deferring capital projects across the company that was slated for the 2020 season. In December 2020, Six Flags Over Texas responded to a user on Twitter questioning the status of Aquaman: Power Wave. The park stated that the coaster would now open in 2022.On the 60th anniversary of the park (August 5, 2021), Six Flags Over Texas announced that Aquaman: Power Wave was going to be modified with a turntable station to accommodate two 20-passenger boats. Originally, when the roller coaster was announced, the ride was to feature just one boat and no turntable station.The park announced on all of its social media accounts a third delay to the roller coaster, setting the new ride to open for the 2023 season. Citing the effects of supply chain issues and labor shortages, help caused for the delay.Six Flags Over Texas announced on February 15, 2023, that the roller coaster would open the following month on March 11. The park soft opened Aquaman: Power Wave two weeks before the set opening day of the roller coaster for season pass holders.Not long after opening, the ride received new two-way lockers, in which a door swings open on one side to insert belongings, and then swings open on the other side as guests exit the ride to retrieve them.",,,2 trains with a single car. Riders are arranged 4 across in 5 rows for a total of 20 riders per train.,Aquaman Splashdown,,
ArieForce One,Fun Spot America Atlanta,Steel,Sit Down,Operating,2023,Fayetteville,Georgia,United States,Rocky Mountain Construction,"3,400 ft (1,000 m)",154 ft (47 m),64 mph (103 km/h),4,"['Chain Lift Hill', 'Dive Loop', 'Zero-G Stall', 'Outward Banked Airtime Hill', 'Zero-G Roll', 'Barrel Roll']",[],146,1:40,3.75,83°,,,,,,,146 ft (45 m),2023,Fun Spot America Atlanta,,Steel,Rocky Mountain Construction,Joe Draves,I-Box,Out and Back,Chain lift hill,154 ft (47 m),146 ft (45 m),"3,400 ft (1,000 m)",64 mph (103 km/h),1:40,83°,900 riders per hour,3.75,ArieForce One,,,4,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,,
